order_id,order_date,region,segment,category,product_name,quantity,sales,discount,profit
ORD-10001,2024-10-08,North,"Home Office",Furniture,Chair,2,1262.21,0.05,306.73
ORD-10002,2024-02-02,Central,Corporate,Furniture,Chair,4,197.50,0.05,37.84
ORD-10003,2025-10-27,South,"Home Office",Technology,Mouse,4,3521.56,0.15,545.01
ORD-10004,2025-03-08,South,"Home Office","Office Supplies",Paper,4,1734.24,0.05,567.38
ORD-10005,2024-04-09,North,Corporate,"Office Supplies",Paper,10,1826.95,0.10,199.79
ORD-10006,2025-01-22,Central,Consumer,Technology,Keyboard,10,440.06,0.10,130.10
ORD-10007,2024-03-12,South,"Home Office","Office Supplies",Envelope,5,276.83,0.05,92.89
ORD-10008,2025-04-09,West,Corporate,Technology,Laptop,3,3196.64,0.10,450.90
ORD-10009,2025-10-12,North,"Home Office",Technology,Printer,3,897.14,0.05,160.30
ORD-10010,2024-11-28,South,"Home Office","Office Supplies",Envelope,4,4222.12,0.00,1252.03
ORD-10011,2024-08-04,East,Consumer,"Office Supplies",Notebook,6,4570.02,0.20,337.21
ORD-10012,2024-09-28,West,Consumer,"Office Supplies",Notebook,9,741.17,0.20,65.83
ORD-10013,2025-01-05,Central,Corporate,Furniture,Bookshelf,9,1135.64,0.05,213.56
ORD-10014,2024-06-12,South,"Home Office",Technology,Laptop,10,3970.79,0.15,155.09
ORD-10015,2024-09-14,West,"Home Office","Office Supplies",Envelope,2,4856.84,0.00,1236.13
ORD-10016,2024-10-27,East,Consumer,Furniture,Cabinet,1,2202.09,0.15,674.16
ORD-10017,2025-06-03,Central,Consumer,Furniture,Cabinet,9,4567.51,0.10,971.47
ORD-10018,2025-06-27,South,"Home Office",Technology,Printer,6,4596.54,0.20,719.73
ORD-10019,2024-02-29,East,Consumer,Technology,Printer,2,1242.31,0.20,44.35
ORD-10020,2024-05-11,Central,Consumer,"Office Supplies",Paper,3,3315.77,0.20,296.82
ORD-10021,2025-12-07,South,"Home Office",Furniture,Bookshelf,7,1045.70,0.10,343.56
ORD-10022,2025-04-07,West,"Home Office",Furniture,Cabinet,2,648.97,0.05,91.78
ORD-10023,2024-08-13,South,"Home Office",Furniture,Table,4,85.59,0.00,6.01
ORD-10024,2024-08-31,North,"Home Office",Technology,Printer,4,1428.46,0.15,259.65
ORD-10025,2024-09-05,Central,Corporate,Furniture,Table,4,3933.87,0.15,190.00
ORD-10026,2025-02-24,East,Corporate,Furniture,Bookshelf,2,2361.77,0.00,161.03
ORD-10027,2024-07-15,North,Consumer,Furniture,Cabinet,3,991.53,0.15,145.32
ORD-10028,2025-03-29,South,Consumer,"Office Supplies",Notebook,2,4049.71,0.20,101.96
ORD-10029,2024-06-19,North,Consumer,Furniture,Chair,4,2061.75,0.15,576.04
ORD-10030,2025-02-03,West,Consumer,Technology,Monitor,5,1362.76,0.15,200.19
ORD-10031,2024-07-13,West,Consumer,Furniture,Table,10,1518.70,0.00,411.14
ORD-10032,2025-08-21,North,Consumer,Technology,Printer,3,2410.10,0.20,65.23
ORD-10033,2025-09-01,South,Consumer,Furniture,Chair,7,386.41,0.05,29.35
ORD-10034,2024-02-10,Central,"Home Office",Furniture,Desk,10,3115.94,0.15,590.68
ORD-10035,2024-11-17,South,"Home Office","Office Supplies","Pen Set",3,1231.50,0.15,272.79
ORD-10036,2024-01-10,East,Consumer,"Office Supplies",Notebook,2,2318.51,0.20,74.14
ORD-10037,2024-12-23,East,Consumer,Technology,Mouse,6,4410.28,0.05,553.47
ORD-10038,2025-10-31,East,"Home Office","Office Supplies",Envelope,5,2668.26,0.20,772.53
ORD-10039,2024-04-19,East,Consumer,Technology,Monitor,5,3724.96,0.05,463.86
ORD-10040,2025-10-11,South,"Home Office",Technology,Printer,8,4271.92,0.20,364.55
ORD-10041,2024-02-15,West,Corporate,Technology,Laptop,5,67.55,0.05,5.98
ORD-10042,2024-01-10,West,"Home Office","Office Supplies",Envelope,9,603.78,0.05,30.68
ORD-10043,2025-03-16,Central,Consumer,"Office Supplies",Envelope,6,680.86,0.10,204.05
ORD-10044,2024-09-12,South,"Home Office",Technology,Printer,9,3351.32,0.10,989.45
ORD-10045,2024-06-15,South,Consumer,"Office Supplies",Envelope,7,4882.22,0.05,231.59
ORD-10046,2024-09-11,West,"Home Office",Furniture,Cabinet,7,1370.69,0.00,427.18
ORD-10047,2024-12-24,South,Corporate,"Office Supplies",Binder,4,1560.69,0.05,73.51
ORD-10048,2024-03-12,East,Corporate,Technology,Keyboard,6,4836.10,0.10,1075.76
ORD-10049,2024-04-28,East,Consumer,"Office Supplies",Envelope,3,4391.34,0.10,896.61
ORD-10050,2025-03-20,North,"Home Office","Office Supplies",Paper,7,1761.15,0.10,373.12
ORD-10051,2024-07-13,West,"Home Office",Furniture,Chair,1,1310.88,0.15,230.68
ORD-10052,2024-03-12,East,Corporate,Furniture,Desk,10,4746.93,0.10,589.45
ORD-10053,2025-11-13,Central,Corporate,Technology,Printer,5,2071.54,0.15,385.98
ORD-10054,2024-06-27,West,"Home Office",Technology,Keyboard,7,3096.80,0.10,601.96
ORD-10055,2025-03-16,East,Consumer,Technology,Printer,6,3939.51,0.20,588.94
ORD-10056,2024-06-22,Central,Corporate,"Office Supplies",Binder,9,3311.31,0.10,758.81
ORD-10057,2025-11-19,North,Consumer,Furniture,Cabinet,3,1586.58,0.05,75.09
ORD-10058,2025-04-11,Central,Consumer,Technology,Keyboard,4,2101.48,0.20,473.89
ORD-10059,2024-05-31,West,Consumer,"Office Supplies",Notebook,2,3297.49,0.00,934.92
ORD-10060,2024-02-21,Central,Corporate,Technology,Monitor,8,2809.16,0.00,252.83
ORD-10061,2024-11-20,Central,"Home Office","Office Supplies",Envelope,10,4752.70,0.15,1257.10
ORD-10062,2024-06-11,Central,Corporate,Furniture,Bookshelf,8,3731.09,0.15,364.74
ORD-10063,2025-10-03,Central,Corporate,Technology,Printer,2,1234.27,0.15,288.90
ORD-10064,2025-07-07,East,Corporate,Technology,Printer,4,448.86,0.05,69.53
ORD-10065,2025-02-21,North,Corporate,Technology,Monitor,7,1687.86,0.15,65.29
ORD-10066,2024-01-21,Central,"Home Office","Office Supplies",Notebook,7,4290.82,0.20,656.90
ORD-10067,2025-07-05,West,Corporate,"Office Supplies","Pen Set",10,3750.20,0.20,1047.59
ORD-10068,2025-05-12,East,Corporate,"Office Supplies",Binder,7,193.67,0.10,47.89
ORD-10069,2024-01-28,Central,"Home Office","Office Supplies",Binder,10,4539.30,0.20,948.26
ORD-10070,2024-07-05,South,Corporate,Technology,Keyboard,6,298.91,0.15,24.96
ORD-10071,2025-03-07,West,Corporate,"Office Supplies","Pen Set",8,1298.74,0.00,72.49
ORD-10072,2025-10-27,East,Consumer,Furniture,Chair,1,389.66,0.00,130.49
ORD-10073,2024-09-01,Central,Consumer,Technology,Laptop,10,674.79,0.00,225.60
ORD-10074,2025-09-12,East,Consumer,"Office Supplies","Pen Set",3,3055.88,0.00,1037.22
ORD-10075,2025-08-12,North,Corporate,Technology,Mouse,7,3402.87,0.15,1029.17
ORD-10076,2025-10-04,Central,"Home Office",Technology,Laptop,10,1252.10,0.10,340.14
ORD-10077,2025-03-14,East,"Home Office",Furniture,Chair,9,3324.53,0.00,812.06
ORD-10078,2025-03-19,West,Consumer,Technology,Keyboard,3,4805.90,0.15,723.99
ORD-10079,2025-07-05,East,"Home Office",Furniture,Table,7,3884.48,0.15,1039.95
ORD-10080,2024-03-29,East,Consumer,Furniture,Cabinet,4,1430.69,0.15,350.72
ORD-10081,2024-01-30,West,Corporate,Furniture,Table,3,2496.82,0.10,440.10
ORD-10082,2025-09-02,East,Corporate,"Office Supplies","Pen Set",9,3520.86,0.10,116.35
ORD-10083,2025-02-20,South,"Home Office",Technology,Laptop,8,2468.46,0.05,577.05
ORD-10084,2024-10-28,North,Consumer,"Office Supplies",Notebook,5,1146.90,0.05,274.32
ORD-10085,2024-12-18,Central,"Home Office","Office Supplies",Notebook,6,2156.24,0.20,249.14
ORD-10086,2024-08-24,East,Corporate,"Office Supplies","Pen Set",6,647.25,0.05,49.10
ORD-10087,2025-05-10,South,Consumer,Furniture,Desk,9,1418.67,0.20,268.18
ORD-10088,2025-01-04,East,Consumer,Technology,Monitor,9,938.24,0.00,82.54
ORD-10089,2025-12-15,Central,Corporate,Technology,Laptop,2,4723.24,0.15,1331.08
ORD-10090,2025-03-27,West,Corporate,Furniture,Cabinet,5,1736.49,0.00,577.07
ORD-10091,2025-05-18,North,Corporate,"Office Supplies",Paper,3,416.71,0.00,39.49
ORD-10092,2024-05-01,North,Consumer,Furniture,Cabinet,10,2812.46,0.15,559.22
ORD-10093,2025-04-06,Central,Corporate,Furniture,Desk,10,4547.10,0.10,1486.94
ORD-10094,2025-09-16,Central,Consumer,"Office Supplies",Envelope,4,4802.54,0.00,1141.35
ORD-10095,2024-06-26,South,Consumer,"Office Supplies",Paper,1,2782.36,0.05,452.29
ORD-10096,2024-02-03,West,Corporate,Furniture,Table,8,1195.81,0.10,61.41
ORD-10097,2024-07-21,Central,"Home Office",Technology,Printer,4,2154.44,0.20,440.13
ORD-10098,2024-06-18,North,Consumer,"Office Supplies",Binder,10,3973.51,0.20,1137.85
ORD-10099,2024-11-07,West,"Home Office","Office Supplies",Paper,9,3513.68,0.10,674.61
