Order_ID,Order_Date,Region,Segment,Category,Product_Name,Quantity,Sales,Discount,Profit
ORD-10001,2024-10-08,North,Home Office,Furniture,Chair,2,1262.21,0.05,306.73
ORD-10002,2024-02-02,Central,Corporate,Furniture,Chair,4,197.5,0.05,37.84
ORD-10003,2025-10-27,South,Home Office,Technology,Mouse,4,3521.56,0.15,545.01
ORD-10004,2025-03-08,South,Home Office,Office Supplies,Paper,4,1734.24,0.05,567.38
ORD-10005,2024-04-09,North,Corporate,Office Supplies,Paper,10,1826.95,0.1,199.79
ORD-10006,2025-01-22,Central,Consumer,Technology,Keyboard,10,440.06,0.1,130.1
ORD-10007,2024-03-12,South,Home Office,Office Supplies,Envelope,5,276.83,0.05,92.89
ORD-10008,2025-04-09,West,Corporate,Technology,Laptop,3,3196.64,0.1,450.9
ORD-10009,2025-10-12,North,Home Office,Technology,Printer,3,897.14,0.05,160.3
ORD-10010,2024-11-28,South,Home Office,Office Supplies,Envelope,4,4222.12,0.0,1252.03
ORD-10011,2024-08-04,East,Consumer,Office Supplies,Notebook,6,4570.02,0.2,337.21
ORD-10012,2024-09-28,West,Consumer,Office Supplies,Notebook,9,741.17,0.2,65.83
ORD-10013,2025-01-05,Central,Corporate,Furniture,Bookshelf,9,1135.64,0.05,213.56
ORD-10014,2024-06-12,South,Home Office,Technology,Laptop,10,3970.79,0.15,155.09
ORD-10015,2024-09-14,West,Home Office,Office Supplies,Envelope,2,4856.84,0.0,1236.13
ORD-10016,2024-10-27,East,Consumer,Furniture,Cabinet,1,2202.09,0.15,674.16
ORD-10017,2025-06-03,Central,Consumer,Furniture,Cabinet,9,4567.51,0.1,971.47
ORD-10018,2025-06-27,South,Home Office,Technology,Printer,6,4596.54,0.2,719.73
ORD-10019,2024-02-29,East,Consumer,Technology,Printer,2,1242.31,0.2,44.35
ORD-10020,2024-05-11,Central,Consumer,Office Supplies,Paper,3,3315.77,0.2,296.82
ORD-10021,2025-12-07,South,Home Office,Furniture,Bookshelf,7,1045.7,0.1,343.56
ORD-10022,2025-04-07,West,Home Office,Furniture,Cabinet,2,648.97,0.05,91.78
ORD-10023,2024-08-13,South,Home Office,Furniture,Table,4,85.59,0.0,6.01
ORD-10024,2024-08-31,North,Home Office,Technology,Printer,4,1428.46,0.15,259.65
ORD-10025,2024-09-05,Central,Corporate,Furniture,Table,4,3933.87,0.15,190.0
ORD-10026,2025-02-24,East,Corporate,Furniture,Bookshelf,2,2361.77,0.0,161.03
ORD-10027,2024-07-15,North,Consumer,Furniture,Cabinet,3,991.53,0.15,145.32
ORD-10028,2025-03-29,South,Consumer,Office Supplies,Notebook,2,4049.71,0.2,101.96
ORD-10029,2024-06-19,North,Consumer,Furniture,Chair,4,2061.75,0.15,576.04
ORD-10030,2025-02-03,West,Consumer,Technology,Monitor,5,1362.76,0.15,200.19
ORD-10031,2024-07-13,West,Consumer,Furniture,Table,10,1518.7,0.0,411.14
ORD-10032,2025-08-21,North,Consumer,Technology,Printer,3,2410.1,0.2,65.23
ORD-10033,2025-09-01,South,Consumer,Furniture,Chair,7,386.41,0.05,29.35
ORD-10034,2024-02-10,Central,Home Office,Furniture,Desk,10,3115.94,0.15,590.68
ORD-10035,2024-11-17,South,Home Office,Office Supplies,Pen Set,3,1231.5,0.15,272.79
ORD-10036,2024-01-10,East,Consumer,Office Supplies,Notebook,2,2318.51,0.2,74.14
ORD-10037,2024-12-23,East,Consumer,Technology,Mouse,6,4410.28,0.05,553.47
ORD-10038,2025-10-31,East,Home Office,Office Supplies,Envelope,5,2668.26,0.2,772.53
ORD-10039,2024-04-19,East,Consumer,Technology,Monitor,5,3724.96,0.05,463.86
ORD-10040,2025-10-11,South,Home Office,Technology,Printer,8,4271.92,0.2,364.55
ORD-10041,2024-02-15,West,Corporate,Technology,Laptop,5,67.55,0.05,5.98
ORD-10042,2024-01-10,West,Home Office,Office Supplies,Envelope,9,603.78,0.05,30.68
ORD-10043,2025-03-16,Central,Consumer,Office Supplies,Envelope,6,680.86,0.1,204.05
ORD-10044,2024-09-12,South,Home Office,Technology,Printer,9,3351.32,0.1,989.45
ORD-10045,2024-06-15,South,Consumer,Office Supplies,Envelope,7,4882.22,0.05,231.59
ORD-10046,2024-09-11,West,Home Office,Furniture,Cabinet,7,1370.69,0.0,427.18
ORD-10047,2024-12-24,South,Corporate,Office Supplies,Binder,4,1560.69,0.05,73.51
ORD-10048,2024-03-12,East,Corporate,Technology,Keyboard,6,4836.1,0.1,1075.76
ORD-10049,2024-04-28,East,Consumer,Office Supplies,Envelope,3,4391.34,0.1,896.61
ORD-10050,2025-03-20,North,Home Office,Office Supplies,Paper,7,1761.15,0.1,373.12
ORD-10051,2024-07-13,West,Home Office,Furniture,Chair,1,1310.88,0.15,230.68
ORD-10052,2024-03-12,East,Corporate,Furniture,Desk,10,4746.93,0.1,589.45
ORD-10053,2025-11-13,Central,Corporate,Technology,Printer,5,2071.54,0.15,385.98
ORD-10054,2024-06-27,West,Home Office,Technology,Keyboard,7,3096.8,0.1,601.96
ORD-10055,2025-03-16,East,Consumer,Technology,Printer,6,3939.51,0.2,588.94
ORD-10056,2024-06-22,Central,Corporate,Office Supplies,Binder,9,3311.31,0.1,758.81
ORD-10057,2025-11-19,North,Consumer,Furniture,Cabinet,3,1586.58,0.05,75.09
ORD-10058,2025-04-11,Central,Consumer,Technology,Keyboard,4,2101.48,0.2,473.89
ORD-10059,2024-05-31,West,Consumer,Office Supplies,Notebook,2,3297.49,0.0,934.92
ORD-10060,2024-02-21,Central,Corporate,Technology,Monitor,8,2809.16,0.0,252.83
ORD-10061,2024-11-20,Central,Home Office,Office Supplies,Envelope,10,4752.7,0.15,1257.1
ORD-10062,2024-06-11,Central,Corporate,Furniture,Bookshelf,8,3731.09,0.15,364.74
ORD-10063,2025-10-03,Central,Corporate,Technology,Printer,2,1234.27,0.15,288.9
ORD-10064,2025-07-07,East,Corporate,Technology,Printer,4,448.86,0.05,69.53
ORD-10065,2025-02-21,North,Corporate,Technology,Monitor,7,1687.86,0.15,65.29
ORD-10066,2024-01-21,Central,Home Office,Office Supplies,Notebook,7,4290.82,0.2,656.9
ORD-10067,2025-07-05,West,Corporate,Office Supplies,Pen Set,10,3750.2,0.2,1047.59
ORD-10068,2025-05-12,East,Corporate,Office Supplies,Binder,7,193.67,0.1,47.89
ORD-10069,2024-01-28,Central,Home Office,Office Supplies,Binder,10,4539.3,0.2,948.26
ORD-10070,2024-07-05,South,Corporate,Technology,Keyboard,6,298.91,0.15,24.96
ORD-10071,2025-03-07,West,Corporate,Office Supplies,Pen Set,8,1298.74,0.0,72.49
ORD-10072,2025-10-27,East,Consumer,Furniture,Chair,1,389.66,0.0,130.49
ORD-10073,2024-09-01,Central,Consumer,Technology,Laptop,10,674.79,0.0,225.6
ORD-10074,2025-09-12,East,Consumer,Office Supplies,Pen Set,3,3055.88,0.0,1037.22
ORD-10075,2025-08-12,North,Corporate,Technology,Mouse,7,3402.87,0.15,1029.17
ORD-10076,2025-10-04,Central,Home Office,Technology,Laptop,10,1252.1,0.1,340.14
ORD-10077,2025-03-14,East,Home Office,Furniture,Chair,9,3324.53,0.0,812.06
ORD-10078,2025-03-19,West,Consumer,Technology,Keyboard,3,4805.9,0.15,723.99
ORD-10079,2025-07-05,East,Home Office,Furniture,Table,7,3884.48,0.15,1039.95
ORD-10080,2024-03-29,East,Consumer,Furniture,Cabinet,4,1430.69,0.15,350.72
ORD-10081,2024-01-30,West,Corporate,Furniture,Table,3,2496.82,0.1,440.1
ORD-10082,2025-09-02,East,Corporate,Office Supplies,Pen Set,9,3520.86,0.1,116.35
ORD-10083,2025-02-20,South,Home Office,Technology,Laptop,8,2468.46,0.05,577.05
ORD-10084,2024-10-28,North,Consumer,Office Supplies,Notebook,5,1146.9,0.05,274.32
ORD-10085,2024-12-18,Central,Home Office,Office Supplies,Notebook,6,2156.24,0.2,249.14
ORD-10086,2024-08-24,East,Corporate,Office Supplies,Pen Set,6,647.25,0.05,49.1
ORD-10087,2025-05-10,South,Consumer,Furniture,Desk,9,1418.67,0.2,268.18
ORD-10088,2025-01-04,East,Consumer,Technology,Monitor,9,938.24,0.0,82.54
ORD-10089,2025-12-15,Central,Corporate,Technology,Laptop,2,4723.24,0.15,1331.08
ORD-10090,2025-03-27,West,Corporate,Furniture,Cabinet,5,1736.49,0.0,577.07
ORD-10091,2025-05-18,North,Corporate,Office Supplies,Paper,3,416.71,0.0,39.49
